State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9001,Nancy Blanchard,,,NP,1,6,326,9.70,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9002,Matt Bruns,,,NP,1,6,416,12.38,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9003,Jenny Wiederholt-Pine,,,NP,1,6,436,12.97,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9004,Brandy Wentzler,,,NP,1,6,391,11.63,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9005,Mariah Ring,,,NP,1,6,392,11.66,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9006,Pamela J. Onnen,,,NP,1,6,139,4.14,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9007,Matt Seeger,,,NP,1,6,417,12.41,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9008,Melissa Millner,,,NP,1,6,437,13.00,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9009,Philip Biermaier,,,NP,1,6,401,11.93,3361
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9901,WRITE-IN,,,WI,1,6,6,0.18,3361
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #213),0213,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #213),0213,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #213),0213,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #213),0213,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #242),0242,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #242),0242,9002,NO,,,NP,0,1,0,0.00,0
